#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-07-02T20:26:12 [V1.99+ (14-Oct-2013)]
Cluster,RA_ICRS,DE_ICRS,r50,nbstars07,pmRA*,pmDE,plx,Flag,AgeNN,AVNN,DMNN,DistPc,X,Y,Z,Rgc,SimbadName,_RA.icrs,_DE.icrs
UBC_379          ,313.264,48.538,0.075,31,-2.531,-2.442,0.364,NN            ,7.26,2.56,12.05,2566,86,2562,111,8642,                               ,313.264,48.538
UBC_380          ,317.71,47.705,0.053,18,-1.003,-1.742,0.437,NN            ,7.9,0.92,11.45,1949,20,1949,-9,8545,                               ,317.71,47.705
UBC_381          ,316.25,48.726,0.054,18,-0.415,-2.19,0.44,NN            ,8.52,1.32,11.68,2164,18,2163,42,8597,                               ,316.25,48.726
UBC_382          ,325.001,49.305,0.038,24,-3.47,-4.863,0.424,NN            ,8.34,0.82,11.81,2298,-159,2290,-100,8802,                               ,325.001,49.305
UBC_383          ,330.72,49.114,0.115,37,-2.04,-1.711,0.541,NN            ,8.09,0.52,11.3,1820,-213,1800,-158,8740,                               ,330.72,49.114
UBC_384          ,328.718,52.821,0.04,42,-3.858,-3.729,0.393,NN            ,7.83,1.3,11.82,2307,-322,2284,-52,8958,                               ,328.718,52.821
UBC_385          ,317.94,60.092,0.102,26,-2.53,-3.468,1.178,NN            ,7.29,1.2,9.71,876,-129,858,122,8512,                               ,317.94,60.092
UBC_386          ,319.784,61.952,0.113,28,-3.461,-3.411,0.809,NN            ,6.81,0.96,10.41,1206,-218,1172,182,8638,                               ,319.784,61.952
UBC_387          ,326.098,58.756,0.094,31,-2.206,-4.772,0.61,NN            ,8.63,1.31,10.91,1519,-280,1488,111,8748,                               ,326.098,58.756
UBC_388          ,337.636,56.552,0.114,99,-3.544,-2.645,0.241,NN            ,7.19,1.89,12.79,3616,-898,3502,-72,9879,                               ,337.636,56.552
UBC_389          ,338.351,58.378,0.056,20,-3.363,-3.427,0.41,NN            ,8.01,1.21,11.63,2114,-570,2035,8,9139,                               ,338.351,58.378
UBC_39           ,19.817,61.019,0.091,45,-1.231,-0.157,0.478,NN            ,8.17,1.35,11.55,2045,-1210,1647,-59,9691,                               ,19.817,61.019
UBC_390          ,338.707,58.276,0.076,34,-3.402,-2.144,0.194,NN            ,7.92,1.58,12.95,3888,-1055,3742,3,10113,                               ,338.707,58.276
UBC_391          ,338.939,59.051,0.083,31,-2.859,-2.004,0.393,NN            ,7.7,2.38,11.83,2326,-650,2233,26,9264,                               ,338.939,59.051
UBC_392          ,336.125,64.926,0.073,33,-0.642,-3.287,1.056,NN            ,7.85,1.47,9.92,965,-298,911,106,8686,                               ,336.125,64.926
UBC_393          ,345.615,56.953,0.126,120,-2.87,-2.558,0.261,NN            ,6.93,2.03,12.9,3805,-1203,3604,-186,10201,                               ,345.615,56.953
UBC_394          ,343.738,59.247,0.087,31,2.152,0.068,1.092,manual        ,8.2,1.85,9.91,958,-304,908,-5,8692,                               ,343.738,59.247
UBC_395          ,345.63,57.199,0.048,31,-2.877,-2.594,0.408,NN            ,8.91,1.31,11.67,2160,-686,2045,-97,9255,                               ,345.63,57.199
UBC_396          ,337.301,66.526,0.124,20,-2.281,-2.792,0.943,NN            ,8.27,1.85,10.05,1021,-336,955,132,8729,                               ,337.301,66.526
UBC_397          ,347.721,58.627,0.034,42,-3.512,-2.675,0.258,NN            ,7.84,2.44,12.76,3571,-1229,3351,-107,10139,                               ,347.721,58.627
UBC_398          ,351.907,60.416,0.08,95,-1.593,-1.353,0.312,tooRed        ,     ,     ,     ,      ,       ,       ,      ,      ,                               ,351.907,60.416
UBC_399          ,351.341,61.335,0.166,216,-4.023,-2.093,0.352,NN            ,7.58,1.65,12.35,2954,-1144,2723,8,9867,                               ,351.341,61.335
UBC_4            ,61.002,35.347,1.02,44,-0.759,-5.696,1.649,NN            ,8.72,0.54,8.91,604,-558,187,-133,8900,                               ,61.002,35.347
UBC_40           ,22.643,60.245,0.043,27,-1.082,-0.556,0.402,NN            ,7.9,1.03,11.95,2451,-1500,1935,-96,10028,                               ,22.643,60.245
UBC_400          ,353.077,61.032,0.129,83,-3.659,-1.993,0.304,NN            ,7.84,1.66,12.41,3037,-1210,2785,-21,9948,                               ,353.077,61.032
UBC_401          ,355.553,58.536,0.043,28,-2.048,-1.191,0.264,NN            ,7.77,2.07,12.39,3009,-1221,2745,-164,9947,                               ,355.553,58.536
UBC_403          ,357.222,62.187,0.125,27,-3.442,-1.428,0.353,NN            ,8.13,1.32,12.07,2597,-1126,2340,8,9751,                               ,357.222,62.187
UBC_405          ,358.532,62.557,0.056,59,-2.231,-0.469,0.18,NN            ,7.72,1.73,13.13,4233,-1881,3792,30,10901,                               ,358.532,62.557
UBC_406          ,0.597,60.975,0.094,78,-3.141,-1.474,0.261,NN            ,7.74,1.64,12.76,3570,-1620,3179,-82,10456,                               ,0.597,60.975
UBC_407          ,4.566,63.367,0.135,81,-3.085,-0.537,0.302,NN            ,7.58,1.38,12.6,3317,-1619,2895,42,10372,                               ,4.566,63.367
UBC_409          ,6.701,63.208,0.185,88,-2.914,-0.399,0.3,NN            ,8.3,1.05,12.41,3038,-1526,2626,25,10210,                               ,6.701,63.208
UBC_41           ,23.255,59.797,0.049,47,-0.787,-0.708,0.384,NN            ,7.81,1.17,11.99,2504,-1545,1967,-115,10078,                               ,23.255,59.797
UBC_410          ,6.999,62.925,0.1,36,-3.132,-0.957,0.341,NN            ,7.58,0.97,12.1,2628,-1324,2270,8,9927,                               ,6.999,62.925
UBC_412          ,12.987,63.785,0.145,37,-1.631,-0.257,0.217,NN            ,7.33,2.25,12.71,3480,-1894,2919,55,10642,                               ,12.987,63.785
UBC_413          ,17.628,60.466,0.058,11,-2.377,-0.358,0.372,notEnoughStars,     ,     ,     ,      ,       ,       ,      ,      ,                               ,17.628,60.466
UBC_414          ,28.513,61.992,0.141,29,-1.057,-0.28,0.31,NN            ,7.47,1.53,12.33,2929,-1892,2236,1,10473,                               ,28.513,61.992
UBC_415          ,42.54,72.914,0.12,17,-1.301,-1.626,1.096,NN            ,7.37,1.06,9.59,829,-537,607,172,8898,                               ,42.54,72.914
UBC_416          ,33.296,63.856,0.035,22,-1.24,-0.842,0.336,NN            ,8.43,2.13,12.27,2846,-1895,2121,119,10452,                               ,33.296,63.856
UBC_417          ,29.214,54.43,0.084,31,-0.764,-1.473,0.489,NN            ,7.79,0.38,11.61,2095,-1403,1533,-264,9863,                               ,29.214,54.43
UBC_418          ,34.671,59.832,0.274,169,-0.613,-0.464,0.358,NN            ,7.36,1.96,12.38,2988,-2063,2161,-62,10625,                               ,34.671,59.832
UBC_419          ,34.694,58.924,0.171,68,-0.921,-0.586,0.395,NN            ,8.3,1.22,11.85,2346,-1628,1686,-83,10110,                               ,34.694,58.924
UBC_420          ,40.333,60.871,0.19,124,-0.639,-0.163,0.431,NN            ,7.81,1.65,11.81,2304,-1655,1603,31,10123,                               ,40.333,60.871
UBC_421          ,39.836,57.802,0.216,76,-0.127,-1.035,0.399,NN            ,7.53,1.68,11.96,2466,-1799,1683,-91,10278,                               ,39.836,57.802
UBC_422          ,40.546,58.171,0.091,32,0.618,-0.693,0.367,NN            ,7.75,1.82,11.86,2355,-1724,1602,-65,10191,                               ,40.546,58.171
UBC_423          ,48.257,58.927,0.037,16,0.603,-0.835,0.359,NN            ,7.22,2.64,12.01,2518,-1938,1607,40,10403,                               ,48.257,58.927
UBC_424          ,50.967,51.237,0.056,38,0.073,-1.67,0.413,NN            ,8.59,1.68,11.76,2251,-1854,1262,-186,10272,                               ,50.967,51.237
UBC_425          ,59.236,48.622,0.105,32,0.79,-1.392,0.318,NN            ,7.93,2.29,12.44,3069,-2693,1458,-195,11129,                               ,59.236,48.622
UBC_426          ,62.5,50.103,0.082,48,0.76,-2.207,0.349,NN            ,8.1,2.57,12.14,2675,-2366,1247,-52,10779,                               ,62.5,50.103
UBC_427          ,71.783,49.035,0.072,43,0.999,-2.21,0.289,NN            ,8.78,1.22,12.48,3130,-2881,1214,135,11287,                               ,71.783,49.035
UBC_428          ,66.793,44.67,0.111,51,1.303,-1.37,0.269,NN            ,8.38,1.94,12.68,3429,-3176,1279,-178,11587,                               ,66.793,44.67
UBC_429          ,72.578,44.762,0.042,29,-0.342,-1.028,0.365,NN            ,8.48,1.69,12.06,2580,-2435,850,5,10809,                               ,72.578,44.762
UBC_430          ,71.449,41.477,0.125,20,0.158,-1.072,0.274,NN            ,8.01,1.16,12.48,3129,-2985,927,-141,11363,                               ,71.449,41.477
UBC_431          ,75.222,41.232,0.048,72,0.422,-1.084,0.192,tooRed        ,     ,     ,     ,      ,       ,       ,      ,      ,                               ,75.222,41.232
UBC_432          ,79.031,39.518,0.054,28,0.323,-1.876,0.327,NN            ,8.52,1.27,12.32,2904,-2838,612,37,11195,                               ,79.031,39.518
UBC_433          ,87.696,28.724,0.048,17,0.3,-0.202,0.183,manual        ,9.3,1,13.4,4786,-4785,-64,71,13125,                               ,87.696,28.724
UBC_434          ,91.045,28.05,0.074,31,0.415,-0.98,0.178,NN            ,8.27,0.75,13.55,5133,-5119,-252,275,13461,                               ,91.045,28.05
UBC_435          ,90.682,25.519,0.093,25,-0.095,-1.598,0.275,NN            ,8.58,0.5,12.57,3268,-3255,-277,88,11599,                               ,90.682,25.519
UBC_436          ,94.897,26.234,0.053,30,-0.362,-2.087,0.296,NN            ,8.75,0.75,12.54,3217,-3186,-338,292,11531,                               ,94.897,26.234
UBC_437          ,89.533,22.036,0.113,32,0.146,-1.912,0.493,NN            ,7.96,1.22,11.48,1978,-1961,-253,-38,10304,                               ,89.533,22.036
UBC_438          ,94.851,15.287,0.097,24,0.155,-0.39,0.207,NN            ,6.64,2.67,12.79,3605,-3471,-975,2,11851,                               ,94.851,15.287
UBC_439          ,94.541,10.752,0.094,32,0.417,-0.944,0.303,NN            ,8.55,0.81,12.43,3056,-2878,-1022,-126,11264,                               ,94.541,10.752
UBC_44           ,31.11,54.359,0.066,47,-2.215,-0.212,0.36,NN            ,8.91,0.51,12.19,2737,-1871,1969,-333,10399,                               ,31.11,54.359
UBC_440          ,113.09,6.015,0.045,32,-0.961,1.217,0.297,NN            ,9.01,0.28,12.5,3158,-2616,-1646,647,11079,                               ,113.09,6.015
UBC_441          ,99.998,-3.613,0.075,34,0.123,-0.443,0.471,NN            ,8.24,0.84,11.5,1991,-1629,-1134,-145,10034,                               ,99.998,-3.613
UBC_442          ,100.581,-4.624,0.048,33,0.184,-0.22,0.194,NN            ,9.16,0.7,13.11,4182,-3374,-2453,-300,11968,                               ,100.581,-4.624
UBC_443          ,98.638,-6.818,0.08,48,0.256,0.076,0.298,NN            ,8.95,0.9,12.51,3171,-2511,-1899,-377,11016,                               ,98.638,-6.818
UBC_444          ,105.311,-6.837,0.098,26,-1.506,-2.49,0.915,NN            ,8.69,0.3,10.18,1084,-829,-699,-18,9195,                               ,105.311,-6.837
UBC_445          ,108.501,-6.563,0.08,36,-0.916,-1.322,0.347,NN            ,8.51,0.58,12.2,2751,-2063,-1816,95,10561,                               ,108.501,-6.563
UBC_447          ,106.389,-9.026,0.089,69,-1.089,-0.146,0.373,NN            ,8.39,1.26,12.14,2673,-1968,-1808,-46,10466,                               ,106.389,-9.026
UBC_448          ,113.508,-8.089,0.041,22,-1.429,0.568,0.304,NN            ,8.46,0.3,12.49,3144,-2211,-2214,310,10781,                               ,113.508,-8.089
UBC_449          ,115.22,-12.892,0.036,21,-1.386,1.797,0.294,NN            ,8.6,0.59,12.51,3171,-2028,-2423,265,10647,                               ,115.22,-12.892
UBC_450          ,110.103,-19.353,0.124,38,-1.844,1.367,0.315,NN            ,7.84,0.72,12.41,3040,-1812,-2436,-138,10440,                               ,110.103,-19.353
UBC_451          ,100.71,-23.7,0.085,14,-1.158,-0.03,0.517,NN            ,7.79,0.07,11.37,1882,-1095,-1476,-402,9550,                               ,100.71,-23.7
UBC_452          ,111.185,-19.225,0.103,24,-1.327,0.652,0.258,NN            ,9,0.7,12.65,3389,-2002,-2733,-97,10697,                               ,111.185,-19.225
UBC_453          ,109.524,-20.295,0.057,43,-0.851,1.624,0.201,NN            ,8.04,1.45,13.27,4501,-2643,-3633,-274,11568,                               ,109.524,-20.295
UBC_454          ,109.278,-20.661,0.058,44,-0.605,1.162,0.286,NN            ,8.4,0.67,12.58,3278,-1913,-2652,-222,10591,                               ,109.278,-20.661
UBC_455          ,115.386,-17.584,0.036,23,-1.943,2.447,0.243,NN            ,7.12,0.77,12.74,3527,-2058,-2859,163,10784,                               ,115.386,-17.584
UBC_456          ,110.217,-20.78,0.06,26,-0.869,1.16,0.267,NN            ,8.03,0.99,12.63,3355,-1936,-2734,-185,10633,                               ,110.217,-20.78
UBC_457          ,109.85,-21.407,0.046,35,-1.913,2.482,0.351,NN            ,7.74,0.84,12.12,2653,-1514,-2171,-174,10090,                               ,109.85,-21.407
UBC_458          ,115.321,-18.699,0.032,17,-3.051,2.932,0.224,NN            ,8.46,0.62,12.72,3505,-1999,-2876,125,10732,                               ,115.321,-18.699
UBC_459          ,115.101,-19.743,0.063,30,-1.032,1.072,0.369,NN            ,9.03,0.86,11.9,2396,-1339,-1986,55,9881,                               ,115.101,-19.743
UBC_46           ,33.672,57.318,0.144,65,-0.824,-1.151,0.401,NN            ,8.05,1.35,12.1,2626,-1821,1884,-171,10334,                               ,33.672,57.318
UBC_460          ,113.818,-21.318,0.151,50,-2,3.19,0.296,NN            ,7.51,0.97,12.35,2946,-1613,-2464,-24,10254,                               ,113.818,-21.318
UBC_461          ,119.21,-23.815,0.187,72,-2.657,3.113,0.286,NN            ,7.68,0.45,12.53,3210,-1532,-2817,145,10266,                               ,119.21,-23.815
UBC_462          ,118.846,-24.033,0.11,8,-2.659,3.041,0.287,NN            ,7.6,0,12.65,3381,-1614,-2968,128,10387,                               ,118.846,-24.033
UBC_463          ,116.554,-26.202,0.042,12,-3.726,3.053,0.447,NN            ,7.77,0.13,11.53,2027,-943,-1794,-25,9455,                               ,116.554,-26.202
UBC_464          ,113.533,-28.127,0.165,62,-2.852,3.672,0.294,NN            ,7.15,1.06,12.59,3294,-1511,-2918,-230,10274,                               ,113.533,-28.127
UBC_465          ,118.863,-25.412,0.162,78,-2.379,2.7,0.187,NN            ,7.61,0.68,13.4,4780,-2195,-4244,121,11358,                               ,118.863,-25.412
UBC_466          ,116.362,-27.239,0.036,35,-1.044,2.936,0.169,NN            ,8.6,1.53,13.32,4609,-2086,-4109,-110,11207,                               ,116.362,-27.239
UBC_467          ,123.177,-25.657,0.05,31,-3.054,2.122,0.168,NN            ,9.16,0.18,13.55,5122,-2163,-4624,415,11476,                               ,123.177,-25.657
UBC_468          ,116.591,-30.762,0.206,40,-2.389,3.302,0.221,NN            ,7.04,1.33,13.1,4164,-1682,-3803,-213,10720,                               ,116.591,-30.762
UBC_469          ,116.589,-32.266,0.138,30,-2.243,3.363,0.249,NN            ,7.82,1.88,12.56,3251,-1242,-2997,-210,10040,                               ,116.589,-32.266
UBC_47           ,41.996,63.789,0.051,24,1.192,-1.103,0.647,NN            ,8.39,2.24,10.9,1514,-1075,1061,99,9475,                               ,41.996,63.789
UBC_470          ,121.799,-30.88,0.063,22,-2.654,3.174,0.251,NN            ,7.51,0.86,13.02,4012,-1460,-3736,55,10488,                               ,121.799,-30.88
UBC_471          ,121.561,-33.053,0.084,49,-2.828,3.775,0.193,NN            ,8.85,0.91,13.21,4389,-1473,-4134,-41,10649,                               ,121.561,-33.053
UBC_472          ,120.76,-35.07,0.05,32,-1.204,1.334,0.485,NN            ,9.33,1.58,11.48,1977,-619,-1876,-75,9154,                               ,120.76,-35.07
UBC_473          ,122.648,-34.297,0.025,24,-2.637,2.567,0.168,NN            ,8.87,0.78,13.27,4498,-1396,-4276,-36,10634,                               ,122.648,-34.297
UBC_474          ,124.866,-33.216,0.122,66,-2.692,3.26,0.162,NN            ,8.87,0.54,13.49,4990,-1538,-4745,146,10959,                               ,124.866,-33.216
UBC_475          ,123.892,-33.904,0.031,19,-2.879,2.907,0.488,NN            ,7.6,0.65,11.51,2004,-614,-1907,21,9155,                               ,123.892,-33.904
UBC_476          ,126.579,-33.835,0.061,54,-3.113,2.691,0.203,NN            ,7.94,1,13.05,4071,-1164,-3897,176,10272,                               ,126.579,-33.835
UBC_478          ,119.399,-44.648,0.087,45,-2.615,5.924,0.321,NN            ,9.13,0.47,12.28,2859,-520,-2782,-401,9287,                               ,119.399,-44.648
UBC_479          ,124.338,-42.582,0.117,33,-4.814,5.119,0.648,NN            ,7.31,0.7,10.84,1473,-266,-1446,-100,8727,                               ,124.338,-42.582
UBC_480          ,119.954,-50.636,0.094,13,-5.373,5.67,2.077,NN            ,8.32,0.08,8.41,481,-42,-471,-89,8395,                               ,119.954,-50.636
UBC_482          ,131.14,-45.951,0.194,97,-5.155,4.977,0.446,NN            ,7.43,0.88,11.76,2245,-190,-2236,-77,8819,                               ,131.14,-45.951
UBC_483          ,133.744,-47.42,0.069,11,-5.074,4.415,0.521,notEnoughStars,     ,     ,     ,      ,       ,       ,      ,      ,                               ,133.744,-47.42
UBC_486          ,139.738,-50.555,0.086,33,-8.19,6.933,0.659,NN            ,7.82,0.87,10.86,1483,61,-1481,-19,8409,                               ,139.7381,-50.555
UBC_487          ,139.691,-51.6,0.062,36,-5.812,4.14,0.499,NN            ,7.42,1.39,11.31,1826,98,-1822,-46,8440,                               ,139.691,-51.6
UBC_488          ,139.767,-53.576,0.024,27,-4.349,4.157,0.121,NN            ,8.28,1.75,13.66,5400,427,-5376,-267,9566,                               ,139.767,-53.576
UBC_489          ,141.158,-53.069,0.124,81,-4.954,3.807,0.324,NN            ,7.02,1.31,12.23,2792,232,-2780,-91,8570,                               ,141.158,-53.069
UBC_49           ,60.217,59.198,0.067,47,-1.786,-1.302,0.344,NN            ,9.42,1.84,12.22,2774,-2268,1580,230,10726,                               ,60.217,59.198
UBC_490          ,140.563,-53.872,0.094,47,-4.397,4.029,0.337,NN            ,7.6,1.27,12.19,2743,242,-2729,-129,8545,                               ,140.563,-53.872
UBC_491          ,142.884,-53.001,0.13,84,-4.393,3.322,0.245,NN            ,8.26,2.01,12.87,3755,358,-3737,-73,8813,                               ,142.884,-53.001
UBC_492          ,148.736,-50.951,0.083,29,-6.86,4.997,0.39,NN            ,7.77,1.26,12.1,2627,314,-2605,127,8437,                               ,148.736,-50.951
UBC_493          ,141.18,-57.341,0.123,25,-7.442,5.693,0.565,NN            ,8.96,0.55,11.24,1772,239,-1749,-152,8287,                               ,141.1801,-57.341
UBC_494          ,143.863,-57.313,0.05,45,-5.181,3.687,0.227,NN            ,8.84,1.79,12.74,3524,539,-3474,-241,8539,                               ,143.863,-57.313
UBC_495          ,144.977,-57.294,0.055,48,-4.77,3.773,0.222,NN            ,8.61,1.22,12.88,3773,605,-3717,-230,8581,                               ,144.977,-57.294
UBC_496          ,159.693,-54.247,0.114,21,-7.889,1.45,0.571,NN            ,7.88,0.37,11.09,1651,405,-1596,108,8093,                               ,159.6931,-54.247
UBC_497          ,158.003,-57.01,0.048,67,-9.69,4.373,0.522,tooRed        ,     ,     ,     ,      ,       ,       ,      ,      ,                               ,158.0031,-57.01
UBC_498          ,155.086,-59.657,0.049,31,-6.024,2.842,0.295,NN            ,8.61,0.84,12.33,2924,751,-2823,-112,8096,                               ,155.0861,-59.657
UBC_499          ,158.639,-59.752,0.096,24,-6.543,2.81,0.396,NN            ,7.72,0.76,11.86,2349,666,-2252,-55,7997,                               ,158.6391,-59.752
UBC_5            ,238.548,-47.74,0.382,29,-6.695,-4.225,1.785,NN            ,8.3,0.26,8.71,551,484,-259,44,7859,                               ,238.548,-47.74
UBC_500          ,162.663,-55.845,0.103,29,-7.308,3.001,0.37,NN            ,8.4,1.03,12.05,2575,731,-2465,141,7998,                               ,162.6631,-55.845
UBC_502          ,159.583,-59.54,0.069,28,-5.712,2.068,0.541,NN            ,8.6,0.51,11.24,1767,509,-1692,-28,8010,                               ,159.583,-59.54
UBC_503          ,156.274,-62.321,0.064,21,-7.424,5.209,0.464,NN            ,9.19,0.54,11.62,2108,608,-2013,-151,7989,                               ,156.2741,-62.321
UBC_504          ,159.738,-61.099,0.045,33,-5.743,2.921,0.174,NN            ,7.05,1.15,13.42,4824,1458,-4595,-187,8274,                               ,159.7381,-61.099
UBC_505          ,160.939,-60.107,0.059,34,-5.926,2.205,0.295,NN            ,8.78,0.28,12.73,3511,1065,-3345,-66,8007,                               ,160.9391,-60.107
UBC_506          ,159.233,-62.035,0.055,35,-6.166,3.413,0.299,NN            ,8.43,0.79,12.66,3399,1040,-3231,-187,7982,                               ,159.2331,-62.035
UBC_507          ,162.594,-61.437,0.035,25,-6.457,2.929,0.145,NN            ,8.22,1.05,13.38,4731,1538,-4471,-156,8140,                               ,162.5941,-61.437
