#
# http://vizier.u-strasbg.fr/viz-bin/VizieR-3?-source=B/ocl/clusters
#
"P","Cluster","RAJ2000","DEJ2000","Class","Diam","Dist","E(B-V)","Age","pmRA","e_pmRA","pmDE","e_pmDE","Nc","K14","RV","e_RV","o_RV","[Fe/H]","e_[Fe/H]","o_[Fe/H]","TrType","WEBDA","Lynga","recno","r_pmRA","r_RV"
" ","Berkeley 35      ","07 09 56","+02 44 01","  ",6,4390,0.47,8.95,-3.29,0.04,3.34,0.24,115,"K14","       ","     ","   ",-0.13,0.18,"  ","2-1-m-* ","WEBDA","Lynga",634,"D14",
" ","OCl 374          ","07 10 12","+75 12 12","p ",4.5,1900,1.27,7.85,-5.51,0.73,-11.15,1.23,6,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",635,"D14",
" ","ASCC 34          ","07 10 30","+06 04 12","  ",36,550,0.04,8.55,-2.36,0.78,-1.87,0.32,9,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",636,"K05",
" ","Dias 3           ","07 10 31","-08 25 39","  ",16,4650,0.64,9.15,1.67,0.14,-2.33,0.12,384,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",637,"D14",
" ","Alessi 21        ","07 10 47","-09 20 12","  ",42,500,0.07,7.47,-4,1.3,2.8,1.3,11,"K14",38.8,1.78,1,"      ","      ","  ","        ","WEBDA","Lynga",638,"ALE","D14"
" ","NGC 2349         ","07 10 48","-08 35 36","  ",18,1628,0.61,8.88,0.71,0.12,-2.23,0.07,545,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",639,"D14",
" ","ASCC 35          ","07 12 40","+02 07 12","  ",48,800,0.06,8.49,-2.68,0.39,-0.94,0.31,19,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",640,"K05",
" ","NGC 2352         ","07 13 05","-24 02 18","  ",6,1750,0.32,8.08,-2.13,0.3,4.3,0.37,125,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",641,"D14",
" ","FSR 1183         ","07 13 22","-09 52 18","IR",6,1634,0.416,8.585,-2.9,0.18,-3.22,0.16,102,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",642,"D14",
" ","NGC 2351         ","07 13 31","-10 29 12","  ",10,1882,0.92,8.38,-4.02,0.21,-1.54,0.13,190,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",643,"D14",
"P","NGC 2354         ","07 14 10","-25 41 24","  ",18,1750,0.18,9.18,-2.92,0.1,1.67,0.12,626,"K14",33.45,0.35,8,-0.3,0.02,12,"        ","WEBDA","Lynga",644,"D14","MMU"
" ","FSR 1153         ","07 14 22","-05 40 14","IR",1.3,3095,0.146,8.065,-2.69,0.59,-0.9,0.02,20,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",645,"D14",
"P","NGC 2353         ","07 14 30","-10 16 00","  ",18,1170,0.1,8.1,-3.92,0.07,-1.18,0.09,491,"K14",18.78,1.44,7,"      ","      ","  ","        ","WEBDA","Lynga",646,"D14","FM09"
" ","ASCC 36          ","07 14 31","-21 07 12","  ",21.6,750,0,8.51,-1.89,0.06,0.25,0.11,670,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",647,"D14",
" ","Ruprecht 14      ","07 14 55","-31 22 00","nf",3,4023,0.396,9.06,-1.09,0.33,1.37,0.41,30,"K14","       ","     ","   ","      ","      ","  ","4-1-p-* ","WEBDA","Lynga",648,"D14",
"P","Collinder 132    ","07 15 20","-30 41 00","  ",80,472,0.037,7.08,-2.01,0.34,2.9,0.34,110,"K14",26.58,5.86,3,"      ","      ","  ","        ","WEBDA","Lynga",649,"TYC","D14"
" ","Berkeley 36      ","07 16 24","-13 11 35","  ",5,6140,0.4,9.5,-1.15,0.01,2.32,0.59,50,"K14","       ","     ","   ","      ","      ","  ","3-1-m-* ","WEBDA","Lynga",650,"D14",
" ","Alessi 3         ","07 16 29","-46 41 06","  ",72,288,0.11,8.7,-11.49,2.14,12.37,2.14,22,"K14",20,7.4,1,-0.275,0.065,1,"4-3-p-* ","WEBDA","Lynga",651,"AMD","K07"
" ","NGC 2358         ","07 16 56","-17 07 00","n ",20,630,0.02,8.72,-0.88,0.07,1.34,0.12,618,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",652,"D14",
"P","NGC 2355         ","07 16 59","+13 45 00","  ",7,1949,0.22,8.9,-2.5,0.8,-3,1.5,38,"K14",35.02,0.16,7,-0.08,0.08,5,"        ","WEBDA","Lynga",653,"SOC","MMU"
" ","ESO 367 10       ","07 17 05","-35 16 48","  ",3,3027,0.916,8.315,-5.78,0.08,26.59,4.45,2,"K14","       ","     ","   ","      ","      ","  ","4-2-m-* ","WEBDA","Lynga",654,"D14",
"P","Basel 11a        ","07 17 06","-13 58 00","  ",5,1520,0,8.3,-0.94,0.01,0.33,0.07,94,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",655,"D14",
"P","Collinder 135    ","07 17 17","-36 49 00","  ",50,316,0.032,7.407,-10.7,0.26,5.3,0.26,18,"K14",15.85,0.99,4,-0.219,0.093,5,"        ","WEBDA","Lynga",656,"TYC","D14"
"P","NGC 2360         ","07 17 43","-15 38 30","  ",13,1120,0.01,8.8,-3.51,1.49,8.07,1.57,2,"K14",27.28,0.18,18,-0.03,0.01,3,"        ","WEBDA","Lynga",657,"BDW","MMU"
" ","ASCC 37          ","07 18 04","-24 28 48","  ",19.2,1600,0,8.73,-1.71,0.11,3.61,0.12,719,"K14",13.5,0,1,"      ","      ","  ","        ","WEBDA","Lynga",658,"D14","K14"
" ","ESO 559 02       ","07 18 05","-18 35 42","  ",1,"     ","      ","      ",-3.56,0.34,5.53,0.81,9,"K14","       ","     ","   ","      ","      ","  ","1-2-P-* ","WEBDA","Lynga",659,"D14",
" ","Teutsch 49       ","07 18 28","-17 36 47","  ",8.4,3840,1.6,8.9,0.54,0.2,1.48,0.23,108,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",660,"D14",
" ","Majaess 86       ","07 18 31","-18 22 15","IR",11,"     ","      ","      ",0.58,0.07,0.48,0.15,182,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",661,"D14",
"P","NGC 2362         ","07 18 41","-24 57 18","  ",5,1480,0.1,6.7,-2.29,0.63,3.03,0.93,2,"K14",36.43,6.62,4,"      ","      ","  ","        ","WEBDA","Lynga",662,"BDW","D14"
" ","Bica 4           ","07 19 07","-22 01 40","  ",2.5,3930,0.94,7.8,-6.81,0.57,2.88,0.57,16,"K14",19,2,2,"      ","      ","  ","        ","WEBDA","Lynga",663,"K14","K14"
" ","Ruprecht 15      ","07 19 33","-19 38 00","  ",2,3416,0.37,8.7,-0.21,0.5,6.12,0.5,98,"K14","       ","     ","   ","      ","      ","  ","3-1-p-* ","WEBDA","Lynga",664,"K14",
"P","NGC 2367         ","07 20 06","-21 52 54","  ",5,1400,0.05,6.7,-2.56,0.07,-0.13,0.38,49,"K14",33.1,5.37,3,"      ","      ","  ","        ","WEBDA","Lynga",665,"D14","D14"
"P","Haffner 6        ","07 20 06","-13 08 00","  ",6,3054,0.45,8.826,-0.55,0.1,3.58,0.01,95,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",666,"D14",
" ","Berkeley 37      ","07 20 24","-01 06 00","  ",4,5250,0.05,8.8,-2.44,0.03,5.44,0.3,43,"K14","       ","     ","   ",-0.05,0.08,"  ","3-2-p-* ","WEBDA","Lynga",667,"D14",
" ","NGC 2364         ","07 20 46","-07 33 00","  ",13,1919,0.31,8.3,0.88,0.21,-2.57,0.16,312,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",668,"D14",
" ","FSR 1255         ","07 20 53","-19 38 51","IR",2.6,1023,0,8.495,-2.59,0.5,4.81,0.5,66,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",669,"K14",
" ","Saurer 1         ","07 20 56","+01 48 29","  ",2.6,13200,0.14,9.7,3.46,0.84,-6.73,0.84,12,"K14",98,9,4,-0.38,0.14,2,"        ","WEBDA","Lynga",670,"K14","FMMF"
" ","Juchert 12       ","07 20 57","-22 52 00","  ",2,2128,0.87,7.85,"       ","     ","       ","     ","     ","K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",671,"   ",
" ","Berkeley 77      ","07 21 27","-03 14 01","  ",6.2,4630,0.12,8.8,-1.8,0.22,0.56,0.17,122,"K14","       ","     ","   ","      ","      ","  ","1-2-m-* ","WEBDA","Lynga",672,"D14",
" ","King 23          ","07 21 47","-00 59 06","  ",7.2,3113,0.16,8.95,-2.15,0.28,2.25,0.01,147,"K14","       ","     ","   ","      ","      ","  ","3-2-p-* ","WEBDA","Lynga",673,"D14",
" ","Wit 3            ","07 22 02","-08 58 46","  ","      ","     ","      ","      ","       ","     ","       ","     ","     ","K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",674,"   ",
" ","Haffner 7        ","07 22 55","-29 30 00","  ",3,4500,0.13,9.18,-1.69,0.22,2.18,0.44,65,"K14","       ","     ","   ","      ","      ","  ","2-3-m-* ","WEBDA","Lynga",675,"D14",
" ","Ruprecht 16      ","07 23 13","-19 27 05","  ",3.5,2160,0.71,8.2,-1.25,0.6,0.07,0.29,72,"K14","       ","     ","   ","      ","      ","  ","4-1-p-* ","WEBDA","Lynga",676,"D14",
"P","Haffner 8        ","07 23 24","-12 20 00","  ",5,2380,0.032,8.5,-3.6,0.01,-0.73,0.01,70,"K14","       ","     ","   ",0.06,0.04,2,"        ","WEBDA","Lynga",677,"D14",
" ","Ruprecht 17      ","07 23 36","-23 11 00","  ",3,1263,0.291,8.325,-2.93,0.31,5.08,0.79,29,"K14","       ","     ","   ","      ","      ","  ","4-1-p-* ","WEBDA","Lynga",678,"D14",
" ","Berkeley 78      ","07 23 38","+05 22 15","  ",6,4800,0.01,9.45,0.77,0.01,-4.54,0.33,77,"K14",59.1,2.8,1,"      ","      ","  ","2-1-p-* ","WEBDA","Lynga",679,"D14","K14"
"P","NGC 2374         ","07 23 56","-13 15 48","  ",12,1468,0.09,8.463,-1.78,0.11,-0.76,0.13,331,"K14",29.25,0.22,1,"      ","      ","  ","        ","WEBDA","Lynga",680,"D14","MMU"
" ","Majaess 88       ","07 24 07","-25 53 56","IR",6,"     ","      ","      ",-7.28,0.17,15.9,0.04,5,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",681,"D14",
" ","Ivanov 6         ","07 24 14","-24 38 00","  ",4.5,442,1.08,7.2,0.79,1.02,0.2,1.73,21,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",682,"D14",
"P","Collinder 140    ","07 24 27","-31 51 00","  ",60,405,0.03,7.548,-7.33,0.63,2.7,0.63,10,"K14",19.34,2.18,4,-0.1,0.15,"  ","        ","WEBDA","Lynga",683,"TYC","D14"
" ","Majaess 89       ","07 24 38","-24 34 59","IR",5,"     ","      ","      ",2.58,1.64,-16.9,0.18,1,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",684,"D14",
"P","Ruprecht 18      ","07 24 39","-26 13 00","  ",7,1056,0.7,7.648,-1.45,0.25,2.43,0.28,137,"K14","       ","     ","   ",-0.01,0.09,1,"        ","WEBDA","Lynga",685,"D14",
"P","NGC 2383         ","07 24 40","-20 56 54","  ",5,3400,0.33,8.45,-2.32,0.23,-0.33,0.39,181,"K14",57.37,0.24,1,"      ","      ","  ","        ","WEBDA","Lynga",686,"D14","MMU"
" ","Haffner 9        ","07 24 42","-17 00 10","  ",4,1900,0.54,8.15,1.36,0.26,2.09,0.15,66,"K14","       ","     ","   ","      ","      ","  ","2-2-m-* ","WEBDA","Lynga",687,"D14",
" ","Majaess 90       ","07 24 45","-24 29 34","IR",5,"     ","      ","      ",-6.54,0.26,22.43,2.57,3,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",688,"D14",
"P","NGC 2384         ","07 25 10","-21 01 18","  ",5,3070,0.31,7.15,-1.29,0.2,1.37,0.45,106,"K14",53.25,2.92,5,"      ","      ","  ","        ","WEBDA","Lynga",689,"D14","D14"
" ","Ruprecht 19      ","07 25 51","-21 35 00","d ",5,1797,0.208,8,-1.84,0.39,-0.68,0.47,120,"K14","       ","     ","   ","      ","      ","  ","4-2-p-* ","WEBDA","Lynga",690,"D14",
" ","FSR 1270         ","07 26 05","-21 11 03","IR",7.9,1607,0.312,8.7,-0.47,0.21,0.93,0.23,246,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",691,"D14",
"P","Waterloo 7       ","07 26 08","-15 05 36","  ",2.6,2800,0.42,"      ",-1.79,0.38,2.63,0.38,119,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",692,"K14",
" ","FSR 1253         ","07 26 17","-18 25 55","IR",6,2640,0.62,8.4,-0.02,0.01,0.65,0.13,149,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",693,"D14",
"P","Melotte 66       ","07 26 23","-47 40 00","  ",14,4700,0.15,9.53,-3.09,0.2,3.26,0.19,284,"K14",22.1,0.9,36,-0.33,0.03,6,"        ","WEBDA","Lynga",694,"D14","C14"
" ","Trumpler 6       ","07 26 25","-24 12 00","  ",6,2083,0.62,8.65,-3.68,0.22,3.76,0.33,77,"K14","       ","     ","   ","      ","      ","  ","3-2-p-* ","WEBDA","Lynga",695,"D14",
"P","Ruprecht 20      ","07 26 43","-28 49 00","  ",5,1208,0.1,8.5,-0.67,0.25,1,0.31,112,"K14","       ","     ","   ",-0.29,0.04,4,"        ","WEBDA","Lynga",696,"D14",
" ","Ruprecht 21      ","07 26 56","-31 11 00","nf",11,3894,0.77,8.65,-2.28,0.14,4.03,0.17,299,"K14","       ","     ","   ","      ","      ","  ","3-1-m-* ","WEBDA","Lynga",697,"D14",
" ","DC 3             ","07 27 00","-37 31 16","  ",0.7,4317,0.541,9.26,-1.61,1.35,4.99,1.35,17,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",698,"K14",
" ","ASCC 38          ","07 27 11","-05 33 00","  ",31.2,500,0.07,8.6,-3.46,0.04,-0.32,0.03,1450,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",699,"D14",
"P","NGC 2395         ","07 27 12","+13 36 30","  ",14,512,0.12,9.07,-3.36,1.3,-6.02,1.3,9,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",700,"TYC",
"P","Trumpler 7       ","07 27 22","-23 57 00","  ",5,1474,0.266,7.43,-2.99,0.31,2.64,0.46,93,"K14",32.87,10,3,"      ","      ","  ","        ","WEBDA","Lynga",701,"D14","D14"
" ","NGC 2396         ","07 28 00","-11 43 00","  ",10,588,0.05,"      ",-3.19,0.05,0.29,0.03,232,"K14",17.7,0.9,1,"      ","      ","  ","4-1-p-* ","WEBDA","Lynga",702,"D14","K07"
" ","FSR 1275         ","07 28 06","-21 47 46","IR",4,3750,0.6,9.4,-1.79,0.34,0.06,0.26,56,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",703,"D14",
"P","Czernik 29       ","07 28 18","-15 24 00","  ",5,3000,0.47,8.45,-3.04,0.3,2.18,0.01,88,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",704,"D14",
"P","Haffner 10       ","07 28 36","-15 23 00","  ",3,3700,0.55,9.3,-1.04,0.65,-0.36,0.01,54,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",705,"D14",
" ","NGC 2394         ","07 28 36","+07 05 12","  ",8,940,0.13,8.95,-0.27,0.43,-0.83,0.39,82,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",706,"D14",
" ","ESO 559 13       ","07 28 42","-20 49 30","  ",10,2749,0.25,9,-2.03,0.16,0.35,0.2,283,"K14","       ","     ","   ","      ","      ","  ","3-3-m-* ","WEBDA","Lynga",707,"D14",
" ","Haffner 24       ","07 28 56","-18 19 00","  ",2,2936,0.48,7.9,-2.52,0.45,6.63,0.45,60,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",708,"K14",
" ","Ruprecht 22      ","07 29 18","-29 11 00","d ",3,1609,0.208,9.03,-2.52,0.52,3.49,0.61,39,"K14","       ","     ","   ","      ","      ","  ","4-2-p-* ","WEBDA","Lynga",709,"D14",
"P","NGC 2401         ","07 29 24","-13 58 00","  ",2,5888,0.35,7.8,2.01,0.59,4.43,0.59,61,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",710,"K14",
" ","Mayer 3          ","07 30 06","-18 32 00","  ",4,2494,1,7.1,0.55,0.08,2.06,0.39,38,"K14","       ","     ","   ","      ","      ","  ","4-1-p-n ","WEBDA","Lynga",711,"D14",
" ","Dolidze 26       ","07 30 06","+11 54 00","nf",23,2070,0.375,8.475,-0.02,0.21,-0.62,0.15,408,"K14","       ","     ","   ","      ","      ","  ","4-1-p-* ","WEBDA","Lynga",712,"D14",
" ","Waterloo 8       ","07 30 12","-15 50 00","  ",12,"     ","      ","      ",-3.21,0.11,0.64,0.19,212,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",713,"D14",
" ","Ruprecht 23      ","07 30 39","-23 23 36","  ",12,3060,0.54,8.78,-2.75,0.12,2.68,0.16,301,"K14","       ","     ","   ","      ","      ","  ","3-2-p-* ","WEBDA","Lynga",714,"D14",
" ","Ivanov 7         ","07 30 40","-15 18 00","  ",2.8,2299,0.37,8.55,-7.27,0.54,4.74,0.54,80,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",715,"K14",
"P","Bochum 5         ","07 31 00","-16 56 00","  ",15,872,0.194,7.545,-2.67,0.84,1.43,0.75,2,"K14",16,2.5,1,-0.171,0.096,4,"        ","WEBDA","Lynga",716,"BDW","DL03"
" ","FSR 1234         ","07 31 10","-15 25 46","IR",4.8,1706,0.437,8.44,-2.04,0.01,0.98,0.26,75,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",717,"D14",
" ","Czernik 30       ","07 31 18","-09 58 00","  ",3,9120,0.24,9.4,-1.43,0.75,-1.94,0.35,37,"K14",79.9,1.5,17,-0.21,0.15,9,"4-2-p-n ","WEBDA","Lynga",718,"D14","HFSB"
"P","Bochum 4         ","07 31 37","-17 11 36","  ",5,2291,0.63,7,-2.4,0.38,0.11,0.28,31,"K14",16,3.7,1,"      ","      ","  ","        ","WEBDA","Lynga",719,"D14","D14"
" ","FSR 1227         ","07 31 53","-13 51 36","IR",0.4,4500,0.416,8.975,-1.51,0.64,4.26,0.64,47,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",720,"K14",
" ","Ruprecht 24      ","07 31 53","-12 45 49","  ",5,1983,0.35,7.78,0.42,0.18,0.97,0.15,80,"K14","       ","     ","   ","      ","      ","  ","4-1-p-* ","WEBDA","Lynga",721,"D14",
"P","Bochum 6         ","07 32 00","-19 25 00","  ",10,3981,0.7,7,-1.19,0.14,2.37,0.19,217,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",722,"D14",
" ","ASCC 39          ","07 33 00","-22 57 00","  ",36,1500,0,8.71,-2.22,0.08,0.75,0.1,1501,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",723,"D14",
" ","NGC 2413         ","07 33 07","-13 24 00","  ",24,440,0.04,8.46,-2.35,0.05,2.13,0.05,1166,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",724,"D14",
"P","NGC 2414         ","07 33 12","-15 27 12","  ",5,3455,0.508,6.976,-1.87,0.11,-0.26,0.14,153,"K14",67.14,3.96,2,"      ","      ","  ","        ","WEBDA","Lynga",725,"D14","D14"
" ","ESO 429 02       ","07 33 24","-28 11 15","p ",3,1670,0.9,8.6,-1.52,0.21,-0.56,0.5,45,"K14","       ","     ","   ","      ","      ","  ","4-3-p-* ","WEBDA","Lynga",726,"D14",
" ","Ruprecht 40      ","07 33 28","-20 31 00","nf",2,1836,0.25,8.265,-2.87,0.8,1.66,0.8,22,"K14","       ","     ","   ","      ","      ","  ","2-2-m-* ","WEBDA","Lynga",727,"K14",
" ","ASCC 40          ","07 33 36","-13 45 36","  ",21.6,700,0.11,8.58,-2.47,0.06,1.72,0.05,913,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",728,"D14",
" ","FSR 1243         ","07 34 33","-15 58 22","IR",0.8,4336,0.666,6.7,-1.02,0.31,0.03,0.31,133,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",729,"K14",
" ","Teutsch 61       ","07 34 40","-19 47 23","  ",3,1920,0.55,6.95,-0.9,0.16,1.94,0.24,51,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",730,"D14",
" ","Haffner 11       ","07 35 30","-27 41 59","  ",7,5800,0.5,8.9,-1.78,0.23,2.28,0.33,71,"K14","       ","     ","   ","      ","      ","  ","2-2-m-* ","WEBDA","Lynga",731,"D14",
"P","NGC 2421         ","07 36 13","-20 36 42","  ",6,2200,0.42,7.9,-3.07,0.11,2.41,0.15,197,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",732,"D14",
"P","NGC 2422         ","07 36 35","-14 29 00","  ",25,490,0.07,7.861,-7.15,0.33,1.1,0.33,23,"K14",25.92,3.31,13,0.11,0.1,11,"        ","WEBDA","Lynga",733,"TYC","D14"
" ","Ruprecht 25      ","07 36 47","-23 23 00","d ",2,3585,0.708,8.895,-3.68,0.96,2.44,0.96,47,"K14","       ","     ","   ","      ","      ","  ","2-2-p-* ","WEBDA","Lynga",734,"K14",
" ","Czernik 31       ","07 36 59","-20 30 35","  ",6,3200,0.48,8.2,-2.15,0.15,2.16,0.26,102,"K14","       ","     ","   ","      ","      ","  ","3-2-p-* ","WEBDA","Lynga",735,"D14",
" ","ESO 429 05       ","07 37 02","-32 11 54","  ",1.2,3596,0.81,9.1,1.7,0.93,4.45,1.53,11,"K14","       ","     ","   ","      ","      ","  ","4-2-m-* ","WEBDA","Lynga",736,"D14",
"P","NGC 2423         ","07 37 06","-13 52 18","  ",12,766,0.097,8.867,-1.34,0.1,-0.91,0.18,417,"K14",18.47,0.11,9,0.14,0.06,3,"        ","WEBDA","Lynga",737,"D14","MMU"
" ","Ruprecht 26      ","07 37 11","-15 39 47","  ",11,1820,0.35,8.6,-1.51,0.12,1.25,0.13,330,"K14",15,3.7,1,0.313,0.11,1,"4-2-p-* ","WEBDA","Lynga",738,"D14","D14"
" ","Alessi 18        ","07 37 11","-26 23 18","  ",1.4,6287,0.645,9.01,-1.39,1.37,-0.34,1.97,24,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",739,"D14",
"P","Melotte 71       ","07 37 30","-12 04 00","  ",7,3154,0.113,8.371,-5.07,0.12,5.76,0.23,265,"K14",0.55,0.63,1,-0.32,0.16,2,"        ","WEBDA","Lynga",740,"D14","D14"
" ","Ruprecht 27      ","07 37 41","-26 31 46","  ",11,1490,0.03,8.95,-1.7,0.11,1.73,0.12,293,"K14",10.9,1.2,1,"      ","      ","  ","4-2-m-* ","WEBDA","Lynga",741,"D14","K07"
" ","BH 4             ","07 37 44","-36 04 00","  ",2,"     ","      ","      ","       ","     ","       ","     ","     ","K14","       ","     ","   ","      ","      ","  ","2-2-p-* ","WEBDA","Lynga",742,"   ",
"P","NGC 2425         ","07 38 17","-14 52 42","  ",8,3550,0.21,9.34,-2.7,0.14,1,0.21,242,"K14",102.9,1.2,10,-0.15,0.09,4,"        ","WEBDA","Lynga",743,"D14","JPF"
"P","NGC 2420         ","07 38 23","+21 34 24","  ",5,2480,0.04,9.3,-1.76,0.01,-2.38,0.01,145,"K14",73.57,0.15,18,-0.38,0.07,20,"        ","WEBDA","Lynga",744,"D14","MMU"
" ","Melotte 72       ","07 38 24","-10 41 00","  ",5,3981,0.2,8.78,-3.86,0.01,-0.26,0.18,124,"K14","       ","     ","   ",-0.38,"      ","  ","3-1-m-* ","WEBDA","Lynga",745,"D14",
" ","Arp Madore 2     ","07 38 46","-33 50 36","  ",2,13341,0.57,9.335,0.52,1.02,7.96,1.02,19,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",746,"K14",
" ","Collinder 467    ","07 39 18","-10 33 00","nf",2,"     ","      ","      ","       ","     ","       ","     ","     ","K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",747,"   ",
" ","NGC 2428         ","07 39 21","-16 31 42","n ",12,2100,0.05,8.68,-3.05,0.09,1.9,0.09,412,"K14",47.35,1.85,7,-0.145,0.095,2,"        ","WEBDA","Lynga",748,"D14","D14"
" ","Ruprecht 28      ","07 39 36","-30 56 00","nf",5,4712,0.416,8.76,-2.84,0.13,2.31,0.01,83,"K14","       ","     ","   ","      ","      ","  ","4-1-p-* ","WEBDA","Lynga",749,"D14",
" ","NGC 2430         ","07 39 41","-16 17 48","n ",15,650,0.17,8.68,-2.35,0.07,1.35,0.1,529,"K14",34.14,1.46,6,0.13,0.151,2,"        ","WEBDA","Lynga",750,"D14","D14"
" ","ESO 493 03       ","07 39 45","-27 17 36","  ",7,1400,0.1,8.6,-0.72,0.4,2.15,0.57,96,"K14",20.77,22.48,1,"      ","      ","  ","3-3-m-* ","WEBDA","Lynga",751,"D14","D14"
"P","Bochum 15        ","07 40 06","-33 32 00","  ",3,2806,0.576,6.742,-0.87,0.11,3.09,0.31,29,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",752,"D14",
" ","NGC 2408         ","07 40 09","+71 39 18","p ",28,1133,0.03,9.48,0.76,0.29,-3.61,0.24,189,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",753,"D14",
" ","Haffner 13       ","07 40 30","-30 05 00","  ",14,714,0.05,"      ",-2.52,0.16,4.34,0.14,416,"K14",68,5.8,1,"      ","      ","  ","3-3-p-* ","WEBDA","Lynga",754,"D14","K07"
"P","NGC 2439         ","07 40 45","-31 41 36","  ",9,1300,0.37,7,-2.22,0.46,3.13,0.56,3,"K14",66,0.13,2,"      ","      ","  ","        ","WEBDA","Lynga",755,"BDW","MMU"
"P","NGC 2432         ","07 40 53","-19 04 36","  ",6,1900,0.23,8.7,-0.85,0.2,1.42,0.15,165,"K14",14.4,0,1,"      ","      ","  ","        ","WEBDA","Lynga",756,"D14","DL03"
" ","ESO 429 13       ","07 41 08","-30 44 18","  ",4,1606,0.437,9.02,-3.34,0.35,3.66,0.36,56,"K14","       ","     ","   ","      ","      ","  ","4-2-m-* ","WEBDA","Lynga",757,"D14",
" ","Ruprecht 29      ","07 41 18","-24 21 00","nf",5,2312,0.094,8.6,-3.77,0.3,4.18,0.01,63,"K14","       ","     ","   ","      ","      ","  ","4-2-p-* ","WEBDA","Lynga",758,"D14",
" ","Ruprecht 151     ","07 41 18","-16 15 00","d ",7,2100,0.2,8.49,-4.11,0.18,2.55,0.29,165,"K14",26.02,4.33,4,-0.102,0.077,7,"4-2-m-* ","WEBDA","Lynga",759,"D14","D14"
"P","NGC 2437         ","07 41 46","-14 48 36","  ",20,1510,0.1,8.4,-3.66,0.05,0.28,0.05,1287,"K14",49.2,0.36,3,0.059,0.09,1,"        ","WEBDA","Lynga",760,"D14","MMU"
" ","Ruprecht 31      ","07 42 58","-35 35 50","cr",3,930,0.06,9,-3.87,0.48,4.95,0.88,34,"K14","       ","     ","   ","      ","      ","  ","3-2-p-* ","WEBDA","Lynga",761,"D14",
